"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04"
"New York","NY","New York","Queens",1,,,,2250,2350,2250,2300,2450,2500,2450,2400,2200,2150,2400,2500,2500,2325,2300,2400,2300,2350,2400,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2602,2650,2696,2700,2637,2650,2700,2700,2650,2600,2600,2600,2600,2600,2650,2635,2300,2250,2291,2250,2250,2200,2200,2250,2295,2350,2350,2300,2220,2300,2300,2250,2200,2200,2199,2200,2200,2250,2300,2350,2307,2307,2399,2500,2400,2200,2250,2300,2300,2350,2350,2377,2375,2400,2400,2350,2300,2295,2295,2299,2300,2395
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,1262.5,1267.5,1352.5,1297.5,1338,1350,1359.5,1375,1390,1350,1302.5,1290,1250,1250,1195,1275,1350,1395,1395,1420,1399,1395,1395,1450,1509,1500,1430,1450,1575,1588,1552.5,1550,1550,1475,1450,1495,1500,1350,1525,1495,1491.5,1450,1495,1580,1597.5,1650,1695,1700,1750,1725,1770,1752.5,1795,1795,1750,1795,1807,1800,1800,1839,1850,1853,1849,1990,1999,2020,2025,2008,1995,1959.5,1945,1995,1925,1935.5,1850,1967.5,2017,2097.5,2065,2069.5,2097,2150,2100,2115,2109,2095,2095,2057,2097,2100,1985
"Chicago","IL","Chicago","Cook",3,,,,,,,,,1352.5,1353.5,1395,1220,1265,1250,1276.5,1299,1375,1340,1300,1325,1315,1325,1375,1395,1335,1275,1250,1325,1389,1400,1400,1464,1500,1476,1500,1500,1600,1500,1550,1584,1600,1585,1592,1568,1544.5,1588,1644,1621,1548,1509,1495,1495,1540.5,1636,1515,1673,1700,1650,1495,1600,1659.5,1504,1501.5,1513,1500,1480,1490,1645,1723,1800,1719.5,1675,1737,1595,1549,1535,1502,1480,1486.5,1500,1500,1550,1550,1525,1500,1495,1495,1495,1495,1495,1509,1595,1605,1630,1595,1595,1590.5,1595,1595
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1225,1125,1074,1105,1214,1216,1235,1200,1229,1245,1184,1199,1190,1200,1200,1229,1237,1235,1238,1229,1244,1250,1360,1359,1375,1296,1329.5,1305,1299.5,1293,1250,1200,1241,1185,1145,1175,1212,1249,1266,1275,1275,1250,1245,1256,1265,1270,1295,1300,1300,1341.5,1347,1348
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,1210,1250,1292,1295,1280,1250,1260,1197.5,1172.5,1100,1050,1050,995,975,975,975,1100,1150,1247,1195,1225,1200,1175,1104,1150,1100,1080,1050,1200,1150,1150,1225,1125,1150,1100,1225,1200,1250,1250,1050,1075,1050,1100,1295,1295,1250,1250,1195,1200,1150,1120,1100,1120,1200,1275,1250,1243,1195,1210,1185,1180,1250,1200,1220,1200,1270,1299,1350,1299,1295,1300,1282,1325,1295,1340,1295,1350,1370,1395,1425,1395,1395,1400,1395,1350,1359.5,1355,1355,1359,1475,1489.5
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,580,585,571,550,619.5,629,646,644.5,595,597,599,625,647,625,620,595,595,640,665,650,650,664,675,690,699,701,693,680,669.5,669,670,666,664,656,660.5,655,660,650,644,650,700,699,690,700,676,695,680,700,699,700,685,700,700,720,744.5,740,742.5,750,750,755,775,780,825,891.5,875,865,897,858,850,950,850,870.5,879,859.5,825,815,907,975,1143.5,1175,1095,1085,995,970,968,950,949,940,942,960,973,991.5
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,630.5,627.5,625,650,650,650,750,850,795,700,700,700,650,625,649,615,632,645,600,599,629,625,625,640,650,635,625,625,625,645,650,685,700,700,675,650,650,670,700,677.5,675,675,695,700,700,725,725,750,750,759,779,775,795.5,795,785,789,800,809,815,795,784,823,879,859.5,847,875,850,845,880,825,873,850,845,845,857,850,915,917,935,905,904.5,920,935,895,885,873,850,850,900,937.5,950
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,652.5,595,595,597,595,600,640,647,650,639,670,675,686,715,730,695,685,679,675,724,725,700,708,694.5,710,713,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,797,786,788,780,775,780,789,785,790,777,770,775,775,783,794.5,795,800,850,850,825,819.5,849,825,800,820,804,820,834.5,790,801.5,775,810,835,839,850,909,900,886,885,899,900,890,899,896,952,935,928
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1275,1250,1225,1295,1250,1250,1350,1400,1450,1450,1300,1300,1350,1320,1360.5,1295,1295,1330,1300,1300,1350,1325,1332,1350,1340,1350,1355,1350,1345,1332.5,1300,1350,1375,1325,1250,1399,1450,1395,1377.5,1450,1624,1600,1595,1650,1601.5,1650,1676,1645,1690,1710,1650,1695,1695,1700,1735,1785,1800,1780,1750,1755,1750,1750,1762,1750,1695,1697.5,1850,1725,1820,1695,1715,1668,1750,1791,1800,1835,1875,1850,1890,1855,1873,1856,1825,1797,1821.5,1875,1870,2000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,1020,995,973,995,975,892,895,835,790,900,870,865,945,875,989,1014,975,937,1025,1010.5,1030,1075,1147,1059,1083,1084,1028,1098,1100,1050,1095,1111,1150,1159,1179,1144,1136,1164,1150,1177,1147,1115,1120,1150,1199,1199,1160,1130,1118.5,1155,1149.5,1165,1199,1200,1230,1200,1195,1195,1209,1257.5,1275.5,1250,1245,1265,1269,1240,1310,1275,1250,1206,1300,1293,1309,1306,1310,1318.5,1325,1350,1330,1309.5,1347,1325,1317,1365,1336,1325
