"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04"
"New York","NY","New York","Queens",1,1997.5,2250,2497,2200,2300,2195,1900,1900,2100,1962.5,2300,2050,1800,2000,2000,2020,2025,2100,2200,2193.5,2123,2100,2095,2095,2100,2100,2150,2195,2195,2195,2200,2200,2200,2200,2200,2185,2200,2200,2200,2200,2225,2200,2235,2290,2280,2295,2300,2295,2299,2295,2295,2300,2329.5,2300,2270,2292,2300,2300,2300,2310,2325,2350,2399,2395,2400,2395,2400,2400,2400,2375,2350,2345,2350,2350,2350,2325,2345,2350,2345,2350,2350,2376,2199,2295,2400,2400,2425,2475,2475,2480,2450,2400,2375,2350,2350,2313,2350,2361,2395
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,895,895,925,950,950,915,900,930,990,950,950,952.5,975,1041,1055,1050,1095,1095,1025,1100,1098.5,1095,950,1050,1095,1081.5,1050,1065,1125,1177.5,1275,1330,1295,1295,1280,1345,1340,1345,1350,1375,1375,1440,1445,1425,1425,1450,1400,1395,1500,1547.5,1595,1555,1661,1585,1695,1545,1595,1525,1550,1450,1499,1700,1930,1814,1725,1855,1960,1950,1950,1925,1854,1871,1850,1858,1850,1850
"Chicago","IL","Chicago","Cook",3,1450,1450,1425,1499.5,1500,1450,1300,1520,1600,1650,1762.5,1500,1449,1350,1355,1375,1348,1300,1306.5,1350,1300,1270,1285,1269.5,1225,1223,1279,1295,1275,1325,1390,1400,1395,1390,1385,1399.5,1429,1415,1400,1431.5,1438,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1530,1582,1500,1600,1595,1515,1470,1526.5,1625,1550,1500,1530,1550,1523,1500,1550,1550,1550,1522.5,1524,1564,1511,1500,1495,1450,1450,1450,1455,1500,1505,1495,1500,1495,1492,1485,1475,1492.5,1500,1535,1550,1550,1535,1501,1515,1500,1479,1450
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,920,857,950,950,955,930,906,1000,1021.5,1010,1000,987.5,949.5,1000,1100,1132.5,1215,1195,1200,1200,1114,1100,1100,1150,1200,1195,1090,1202,1100,1100,1057.5,1147.5,1299.5,1290,1312,1267,1304,1324,1283,1249.5,1250,1150,1239,1201,1125,1050,1220,1250,1211,1200,1220,1205,1180,1206.5,1249,1240,1275,1254,1200,1253,1250,1369
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1370,1275,1350,1275,1225,1400,1250,1300,1500,1425,1237.5,1225,1270,1350,1300,1300,1350,1400,1372.5,1200,1150,1154,1100,1100,1126,1100,1195,1100,1100,1150,1185,1100,1100,1150,1100,1100,1250,1200,1200,1092.5,1068.5,1150,1200,1200,1100,1100,1100,1100,1150,1150,1200,1200,1250,1200,1200,1250,1250,1177,1200,1200,1200,1275,1295,1254,1220.5,1250,1250,1200,1233,1221,1250,1250,1300,1300,1300,1320,1200,1275,1250,1300,1250,1300,1250,1265,1300,1300,1300,1279,1275,1295,1320,1307.5,1300,1300,1325,1309,1395,1385
"Phoenix","AZ","Phoenix","Maricopa",6,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1045,1025,1000,1000,999,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1150,1150,1175,1150,1150,1150,1150,1150,1195,1200,1217,1225,1225,1200,1200,1200,1200,1192.5,1200,1245,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1299,1295,1300,1295,1299,1320,1335
"San Antonio","TX","San Antonio","Bexar",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.5,749,766,849,800,940.5,941,861,854.5,889,945,940,900,955,965,950,957
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1517.5,1561,1594.5,1595,1550,1595,1615,1650,1705,1695,1487.5,1500,1610,1595,1599.5,1595,1507.5,1557.5,1617,1450,1610,1445,1497.5,1595,1694,1745,1681.5,1725,1745,1687,1740,1653,1700,1671,1677.5,1686.5,1776.5,1791.5,1790,1850
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,895,795,845.5,825,812.5,845.5,850,750,749,725,750,700,682,695,750,755,850,850,795,705,743.5,750,817.5,850,850,800,845,863,796,795.5,850,856,898.5,947.5,970,982.5,975,945,950,967.5,952.5,1054,1050,1050,1000,1085,1100,1050,1054.5,1026,1028,1080,1066,1080.5,1150,1172.5,1043,995,1055,1055,1015,1005,1024,1122,1150,1050.5,1097,1087,1097,1150,1165,1099,1170,1170,1169,1165,1165,1165,1190,1225,1239,1250,1268.5,1287.5,1400,1450,1385,1370
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2150,2120,2115,2195,2144,2223,2317.5,2395,2370,2340,2365,2366,2305,2330,2290,2200,2270,2285,2370,2055,2199,2097.5,2132.5,2025,2270,2235,2300,2286,2260.5,2337.5,2299.5,2279,2217,2288,2247,2208,2202.5,2196,2250,2309
"Jacksonville","FL","Jacksonville","Duval",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,910,930,895,840,850,850,745,745,745,750,850,850,850,850,794.5,850,766.5,778,825,850,847.5,815,738,815,778,850,975,937.5,799,850,910,832.5,950,940,899,940,950.5,995,1025,1015,959,1050,1020,1050,1075,1075,1075,1095
