"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04"
9,"California",1,163000,162700,162300,162000,161800,161700,161600,161700,161900,162200,162500,162500,162600,162700,163000,163400,163900,164600,165400,166500,167900,169500,171000,172300,173500,174700,175700,176600,177500,178400,179300,180200,181500,182800,184200,185400,186700,188100,189600,191100,192800,194700,196800,199100,201800,204700,207400,210100,212800,215600,218300,221100,223700,226300,228800,231300,233900,236500,239000,241400,243700,246000,248300,250500,252700,254900,257300,259800,262400,265200,268000,270900,273900,277100,280500,284100,288000,292000,296300,300700,305100,309300,313500,317900,322400,327100,332000,337200,342700,348400,354400,360400,366700,373500,380800,388700,397500,406800,416400,425900,434800,443000,450700,457800,464600,471300,477700,484200,490700,496900,502900,508600,513500,518000,522200,525700,528900,531600,534000,536300,538300,539500,540100,539500,537500,534900,532200,529400,526800,524500,521900,518900,515400,511500,507200,502100,495700,488900,481900,474600,466800,458600,449600,439500,428500,417500,407100,398400,391500,385700,380200,374900,369800,365100,360100,354600,348700,342500,337400,334400,333100,332600,332900,333500,334200,335000,335400,335000,335100,335900,335800,334300,332900,331100,328900,326500,323900,321000,318600,316800,314900,313000,311200,309300,307300,305300,303600,302200,301300,300800,300800,301900,304000,306400,308600,310800,313100,315700,318700,322500,326400,330300,335000,341200,348300,355700,363400,370600,376700,381500,384900,387700,390300,393200,396400,399600,402400,405000,407600,410100,412000,413400,415200,416900,418500,420800,423600,425900,428100,430900,434000,436800,439400,442300,445000,447400,450200,453400,455600,457300,459300,461900,464400,467200,470400,473700,477000,480100,482800,485700,488600,491200,493900,497400,501700,505900,509800,514000,518300,522800,527500,531700,535600,540100,542900
54,"Texas",2,92800,92800,93000,93200,93300,93400,93500,93600,93500,93500,93400,93400,93300,93400,93500,93700,93900,94100,94500,94900,95400,96000,96500,97000,97300,97700,97900,98100,98300,98400,98600,98900,99300,99800,100400,100900,101400,102000,102600,103600,104900,106500,108200,109700,111100,112100,112900,113300,113600,113700,113600,113200,112500,111400,110300,109500,108900,108600,108400,108500,108800,109200,109600,109900,110000,110200,110300,110500,110700,110900,111200,111400,111700,112000,112500,112900,113400,113900,114400,114800,115100,115300,115400,115500,115600,115800,115900,116100,116400,116700,116900,117300,117800,118600,119500,120500,121500,122200,122900,123500,124100,124700,125400,126000,126500,126900,127300,127600,127900,128200,128500,128800,129000,129200,129300,129500,129800,130000,130300,130700,131100,131500,131900,132400,132900,133400,133800,134300,134800,135200,135500,135800,136200,136600,137100,137500,137900,138300,138700,138900,138900,138600,138100,137500,136800,136100,135400,134700,134200,133800,133400,133000,132700,132500,132300,132000,131700,131300,130900,130700,130700,130700,130700,130700,130900,131000,131100,131100,130800,130600,130500,130400,130100,129900,129600,129300,128900,128500,128100,127800,127700,127600,127500,127300,127100,126700,126300,126100,125900,125700,125700,125900,126300,126500,126600,126800,127000,127200,127200,127200,127500,128000,128400,128600,129000,129400,130100,130600,131200,131700,132200,132800,133300,133800,134300,134800,135300,136100,136800,137300,138000,138700,139300,140200,141000,141700,142300,142900,143800,144900,145900,146700,147600,148500,149400,150200,151000,151800,152800,153800,154900,156300,158100,159900,161600,163300,165000,166300,167500,168800,169900,171000,172100,173200,174200,175200,176100,177000,177800,178600,179500,180200,181400,183100,184200
43,"New York",3,124200,123900,123700,123400,123200,123100,123000,123000,123200,123400,123500,123500,123500,123500,123500,123500,123500,123600,123700,124000,124500,125100,125600,126000,126400,126800,127300,127700,128300,128800,129400,130000,130700,131500,132200,132900,133700,134500,135400,136400,137200,138000,138700,139500,140300,141300,142500,143600,144800,146000,147200,148200,149300,150400,151500,152600,153800,155000,156200,157400,158600,159900,161200,162500,163900,165200,166600,168100,169800,171400,173100,174600,176200,177800,179600,181400,183200,185200,187200,189300,191600,194000,196600,199500,202400,205300,208100,210900,213600,216200,218800,221300,223700,226100,228300,230600,233000,235500,238300,241400,244600,248000,251400,254800,258200,261400,264600,267600,270800,273800,276800,279600,282300,284900,287400,289800,291900,293900,295500,297200,298700,300000,301100,301900,302500,303000,303300,303400,303600,304000,304200,304700,305100,305200,304900,304500,303900,303100,302100,301000,299600,298100,296200,294400,292400,290100,287600,285100,282600,280100,277700,275400,273200,271100,269100,267300,265500,263400,261100,259600,258600,258000,257500,257300,257200,257300,257700,257100,255300,253700,253400,252800,251400,249800,248600,247300,245700,244100,242500,240900,239900,239900,239700,238800,237900,237100,235800,234700,234000,233600,232700,232200,232200,232200,231900,231500,231000,231000,231100,231300,231400,231500,231800,232400,233100,233800,234500,235500,236300,236900,237500,238200,238700,239200,239700,240400,241100,241500,241600,242000,242900,243600,244100,244300,244400,244600,245000,245100,245100,245500,246200,246800,247900,249200,250400,251000,251300,251800,252900,254000,254900,255600,256200,257400,258600,259100,259400,260200,261500,262400,263100,264300,265800,267300,269200,271200,272400,273100,274300,275900,277800,279400,280500,281500,282600
14,"Florida",4,84600,84600,84600,84600,84600,84700,84900,85100,85500,85900,86200,86500,86600,86800,87000,87200,87400,87600,87800,88100,88500,88900,89200,89400,89500,89700,90000,90300,90800,91200,91700,92200,92800,93300,93700,94100,94500,94900,95400,95900,96500,97100,97700,98300,98900,99600,100100,100600,101100,101800,102500,103200,104100,105000,106000,106900,108000,109100,110300,111400,112600,113800,115000,116100,117200,118400,119500,120600,121700,122700,123600,124600,125400,126300,127200,128000,128900,129800,130800,131900,133100,134300,135600,137000,138400,139900,141300,142700,144100,145700,147300,148900,150700,152500,154500,156600,158900,161300,164100,167100,170300,173700,177100,180500,184200,188100,192100,196600,201500,206500,211800,217100,222300,227200,231800,236000,240000,243700,247000,250200,253300,255700,257600,258600,258900,258500,257700,256400,254900,253400,251700,249700,247600,245200,242500,239400,236000,232400,228800,225100,221300,217500,213400,209300,205200,201200,197200,193100,189100,185200,181400,177600,173900,170300,166600,162800,159000,155100,151400,148600,146600,145100,144000,143200,142800,142600,142600,141800,140400,139400,138800,137600,136100,134500,133200,132000,130500,129000,127700,126900,126400,125800,125100,124700,124400,124100,123900,123700,123600,123600,123800,124200,124700,125200,125800,126100,126400,126800,127300,127700,128600,129500,130400,131500,132700,134000,135700,137400,139100,140500,142100,143500,144600,145500,146500,147700,149000,150300,151500,152900,154300,155300,155900,156900,157900,158800,159900,161100,162400,163900,165400,166900,168400,170000,171400,172700,173800,175200,176600,178000,179600,181300,182900,184800,186800,188800,190800,192900,195200,197200,198800,200200,201800,203600,205400,206800,208200,209900,211600,213000,214300,215700,217200,219200,221000
21,"Illinois",5,115100,115700,116100,116300,116200,115900,115300,114700,114100,113500,112900,112000,111200,110500,109800,108900,108100,107400,107100,107300,108100,109400,110900,112300,113800,115200,116700,118200,119600,120800,121900,122700,123400,123900,124000,123900,123800,123800,123900,124200,124700,125200,126000,126800,127900,129100,130200,131200,132100,133000,133800,134700,135500,136300,137100,137800,138600,139400,140100,140800,141400,142100,142800,143600,144500,145400,146500,147600,148700,149700,150700,151700,152700,153600,154400,155200,155900,156700,157300,157900,158400,158900,159400,160000,160600,161400,162200,163100,164000,165000,165900,166800,167700,168800,169800,170900,172100,173300,174400,175500,176500,177500,178600,179600,180600,181500,182300,183100,184100,185200,186300,187600,189100,190600,192000,193300,194600,195700,196600,197700,198700,199500,200200,200900,201400,202000,202400,202800,203200,203600,203700,203900,203900,203600,203100,202700,202200,201600,201000,200300,199400,198300,196900,195600,194400,193100,191500,189900,188000,186200,184500,182800,181200,179600,177900,176200,174400,172200,170000,168000,166300,164800,163700,163000,162700,162600,162800,161900,160000,158900,158500,157500,156200,154900,153400,152000,150300,148800,147700,146800,145900,144500,142800,141500,140700,140100,139000,137700,136700,135800,134600,133800,133800,134100,134500,134600,134300,134100,134200,134600,135100,135300,135600,136000,136400,136900,137700,138800,139800,140600,141200,141600,141800,142100,142600,143100,143800,144800,146000,146900,147600,148200,148500,148800,149100,149400,149800,150500,151400,152000,152600,153300,154000,154400,154900,155500,155900,156100,156400,156800,157700,158700,159300,159800,160500,161200,161800,162500,163200,163800,164100,164600,165300,166100,166800,167500,167900,168400,169200,170000,170800,171500,172400,173300,173500
47,"Pennsylvania",6,77500,77300,77100,76900,76800,76800,76900,77100,77400,77700,77900,78200,78600,79000,79400,79900,80200,80500,80900,81200,81600,82000,82500,82900,83200,83600,83900,84300,84700,85200,85700,86200,86700,87000,87400,87700,87900,88200,88400,88700,88900,89100,89400,89600,89800,90100,90400,90600,90800,91000,91200,91400,91500,91700,92000,92500,93100,93700,94500,95200,96000,96600,97300,98000,98700,99400,100000,100700,101400,102000,102600,103200,103800,104400,105000,105600,106300,107000,107700,108500,109300,110200,111000,112000,113000,114100,115200,116200,117300,118400,119400,120200,121100,122000,123000,123900,125000,126100,127300,128500,129600,130800,131900,133000,134000,134900,135800,136700,137600,138600,139700,140900,142200,143400,144500,145600,146600,147600,148500,149300,150200,151100,151900,152600,153300,153700,154100,154500,155000,155400,155900,156300,156600,156900,157000,157100,157200,157100,157100,157000,156900,156800,156500,156300,156000,155600,155000,154500,154000,153600,153200,152800,152500,152300,152100,151800,151600,151200,150700,150300,150100,149900,149800,149800,150000,150100,150200,150100,149800,149800,149800,149400,148900,148300,147600,146900,146200,145400,144800,144300,143700,143100,142500,141900,141200,140900,140700,140600,140100,139600,139200,139100,139000,138800,138600,138800,139000,139200,139300,139500,139700,139900,140100,140300,140500,140700,141000,141400,141700,141700,141600,141600,141800,142200,142400,142500,142700,143000,143500,143800,143900,144100,144300,144300,144600,144800,145000,145100,145500,146100,146500,146900,147200,147500,147800,148100,148200,148500,149000,149300,149600,150100,150600,151400,152300,152800,153200,153900,154400,154800,155200,155900,156600,157500,158400,159200,160000,160900,161900,162700,163200,163900,164800,165600,166300
44,"Ohio",7,82900,83100,83300,83600,84000,84400,84800,85100,85400,85700,85900,86100,86400,86700,87000,87300,87600,87900,88200,88500,88800,89100,89500,89900,90300,90800,91200,91600,92000,92400,92800,93300,93700,94100,94500,94800,95100,95300,95600,95900,96300,96700,97100,97600,98200,98700,99300,99800,100300,100600,101000,101500,101900,102300,102800,103200,103700,104200,104700,105100,105500,105900,106300,106700,107200,107700,108100,108500,108900,109300,109700,110000,110300,110700,111100,111500,111800,112200,112600,113000,113500,113900,114300,114800,115300,115700,116000,116300,116600,117000,117400,117800,118100,118400,118700,119100,119400,119800,120100,120400,120700,121000,121300,121500,121800,122100,122300,122500,122700,123000,123300,123600,123900,124100,124300,124500,124600,124700,124800,125000,125100,125200,125200,125200,125100,125000,124800,124700,124600,124500,124400,124200,124000,123800,123400,123000,122500,122100,121600,121100,120500,119900,119300,118700,118100,117500,116800,116200,115600,115100,114600,114300,113900,113500,113200,112800,112400,112000,111400,111000,110700,110500,110300,110200,110100,110100,110100,110000,109700,109600,109800,109700,109500,109200,108700,108000,107300,106500,105700,105000,104600,104200,103800,103400,103200,103000,102800,102500,102400,102400,102400,102600,102800,102700,102500,102400,102300,102300,102400,102600,102900,103300,103600,103600,103700,104000,104300,104700,105000,105300,105600,105900,106000,106200,106500,106800,107100,107700,108300,108700,109000,109200,109600,110100,110300,110500,111000,111400,111600,111800,112300,113000,113500,113700,114000,114300,114700,115100,115400,115800,116400,116900,117500,118100,118800,119400,119900,120400,120800,121200,121900,122800,123700,124600,125400,126000,126700,127400,128000,128600,129200,129600,130000,130600,130900
30,"Michigan",8,76600,77100,77600,78200,78700,79200,79600,80000,80500,81100,81700,82200,82700,83300,83900,84500,85100,85800,86400,87100,88000,89000,90000,90800,91500,92200,92800,93300,93700,94100,94500,94900,95400,96000,96600,97200,97800,98500,99200,99900,100700,101500,102300,103100,104000,104800,105500,106200,106900,107700,108400,109100,109700,110400,111100,111700,112300,112700,113100,113500,114000,114400,114800,115200,115600,115900,116300,116700,117100,117700,118300,119000,119600,120100,120600,121000,121400,121800,122200,122700,123100,123600,123900,124000,124100,124300,124600,125000,125500,126000,126500,126900,127300,127700,128100,128500,129000,129600,130200,130800,131300,131800,132300,132800,133400,133900,134300,134800,135300,135700,136000,136400,136700,137000,137200,137300,137300,137200,137000,136900,136800,136700,136400,136100,135900,135600,135300,134900,134400,133900,133200,132700,132200,131400,130500,129600,128600,127500,126500,125400,124200,123100,121700,120500,119300,117900,116300,114800,113200,111600,110100,108600,107100,105500,104000,102600,101300,99800,98100,96600,95400,94200,93200,92600,92100,91900,92000,91400,90300,89700,89700,89500,89100,88600,88100,87400,86800,86100,85500,84900,84400,83900,83400,83000,82600,82500,82300,82000,81800,81800,81900,82100,82400,83100,83800,84200,84600,85100,85800,86400,87100,87700,88300,89100,90100,91000,91800,92800,93800,94800,95700,96700,97500,98200,98900,99800,100700,101700,102600,103300,104200,105100,106000,106600,107300,108300,109000,109600,110300,111000,112000,112900,113700,114200,115100,116000,116800,117300,117700,118400,119400,120200,121100,122400,123700,124600,125300,126100,127000,127700,128500,129600,130600,131600,132600,133600,134700,135700,136400,137200,138100,138500,139100,140200,141000
16,"Georgia",9,87000,87400,87900,88400,89000,89400,89900,90300,90700,91200,91500,91900,92400,92800,93300,93800,94400,95000,95500,96000,96500,97000,97500,97900,98400,98900,99500,100300,101100,102000,102900,103800,104600,105500,106200,106900,107500,108200,109100,110000,110800,111700,112600,113300,114100,115000,115800,116600,117400,118200,118900,119700,120500,121200,122000,122800,123700,124600,125400,126000,126600,127200,127700,128200,128700,129200,129700,130400,131100,131900,132600,133400,134100,134800,135400,135900,136300,136700,137000,137400,137900,138400,138900,139300,139700,140100,140400,140700,140800,141000,141200,141500,141900,142600,143400,144200,144900,145400,145900,146400,147100,148000,148800,149400,149600,149500,149500,149600,149900,150400,151100,151800,152400,153200,153900,154600,155300,155900,156600,157200,158000,158600,159200,159900,160500,161000,161500,161900,162200,162600,162800,163200,163500,163700,163600,163500,163400,163100,162800,162400,161900,161300,160500,159800,159000,158100,156900,155600,154200,152900,151600,150400,149100,148000,146800,145600,144400,143000,141400,140100,139000,138100,137400,136700,136300,136200,136300,135400,133800,132700,132300,131600,130800,129600,128400,127200,126100,124700,123200,121900,120900,119900,118800,117800,116600,115400,114100,112900,111900,111000,110300,110000,109900,109800,109900,110100,110300,110900,111600,112200,112900,113500,114200,115000,115900,116900,117800,118700,119700,120700,121600,122700,123800,124800,125700,126800,127900,128900,130000,131200,132100,132700,133400,134300,134900,135300,135700,136400,137300,138400,139200,140000,140800,141500,142000,142400,142900,143600,144600,145600,146700,147900,149000,150100,151100,152000,153100,154200,154900,155700,156600,157500,158400,159400,160300,161200,162300,163600,164800,165800,167200,168400,169700,171100,172300
36,"North Carolina",10,88100,88000,88000,88100,88400,88800,89400,90100,90800,91700,92500,93300,94000,94600,95100,95500,95700,95800,95800,95600,95100,94500,94100,93800,93800,94100,94800,95700,96800,97900,99100,100100,100800,101400,101900,102300,102900,103500,104200,105000,105800,106500,107100,107800,108400,108900,109300,109800,110100,110500,111000,111500,112200,112700,113300,113700,114100,114300,114600,114800,114900,115100,115200,115300,115400,115500,115700,116000,116300,116700,117200,117600,118000,118200,118500,118700,118900,119200,119600,120000,120500,120900,121200,121500,121900,122400,123000,123600,124100,124600,125000,125500,126100,127000,127900,128900,129900,130700,131300,131900,132400,132900,133400,133700,134000,134100,134200,134500,134900,135400,136100,136800,137600,138400,139200,140100,140900,141800,142600,143500,144400,145300,146100,147000,147800,148500,149200,149800,150500,151100,151600,152200,152700,153100,153400,153600,153800,154000,154000,154100,154000,154000,153900,153800,153700,153400,152800,152200,151500,150900,150300,149800,149400,149200,148900,148600,148300,147800,147000,146400,145900,145400,145000,144700,144700,144700,144900,144600,143900,143400,143300,142900,142400,141700,141300,140900,140100,139200,138500,137700,137100,136600,136200,135500,135200,135400,135300,135000,134800,134700,134600,134700,134600,134700,135000,135500,135600,135500,135300,135100,134800,135000,135100,135300,135800,136200,136500,136800,137400,137700,137900,138400,138900,139200,139300,139400,139700,140200,140500,140800,140800,140900,141200,141600,141900,142300,142800,143400,143600,143900,144300,144900,145400,146000,146400,146700,147100,147700,148200,148900,149800,150700,151500,152400,153500,154300,155100,156100,157200,157900,158700,159500,160500,161700,162700,163400,164100,164800,165700,166700,167500,168200,169200,170400,171500
