"ZPID","Zestimate","Year Built","Last Sold Date","Last Sold Price","Floors","Basement","Bathrooms","Bedrooms","Finished SQFT","Lot Size SQFT","Home Type","Roof","View","Parking","Heating Sources","Heating System"
"49013456",1546394,"1921","06/30/2017","1365000","2","Finished","2.5","4","2211","3898","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"62901992",1717340,"2004","06/30/2017","1525000","2","Partially finished","2.0","4","2290","1911","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48776076",1447075,"2013","05/31/2017","1265000","4","Finished","3.0","3","2021","1572","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48690288",1304344,"1911","04/23/2018","1300000","2","Finished","3.0","5","2430","2400","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48781018",1522732,"1918","06/12/2017","1220000","2","Finished","3.0","4","2910","4791","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48879047",1579357,"1916","08/01/2017","1507500","2","Finished","4.0","4","2707","3484","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"49127336",1776398,"2008","03/16/2018","1712000","3","Finished","3.0","3","3180","2613","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48981701",1552757,"1913","08/28/2017","1419000","3","Finished","2.0","4","2680","3049","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"123726900",2158276,"2017","09/18/2017","1915000","2","Finished","2.5","2","2100","1841","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"123726478",2095763,"2017","07/14/2017","1905000","2","Partially finished","3.0","3","2560","1991","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"123727507",1768320,"2017","05/14/2018","1740000","4","Finished","2.0","2","2454","1424","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"49003912",1466383,"1922","02/01/2018","1355000","2","Finished","2.0","3","2240","4000","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"49004940",1615739,"1923","12/04/2017","1500000","2","Finished","4.0","4","2840","3484","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48749852",1470918,"1927","02/16/2018","1410000","2","Finished","2.5","4","3190","3998","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"49012245",1101185,"2017","03/28/2018","985000","2","Partially finished","1.5","2","1240","5400","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48780989",1320297,"1924","10/10/2017","1214000","4","Finished","2.0","4","2970","4356","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
